Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
KAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.96643357,34.59207459,35.44677545,33.24009324,34.88733489
KEN,0.0,0.0,0.0,0.0,0.0,0.0,9.426012635,8.24466741,9.983773071,13.68668047,15.54975845,19.47826087
KGZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30451666,18.98426323,15.75107296,15.75107296,15.75107296
KHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.810945274,1.810945274,1.810945274
KNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.83333333,50.83333333
KOR,0.0,0.0,0.0,0.0,0.0,0.0,33.8649631,39.22898998,44.97764071,45.02235929,45.02235929,45.02235929
LAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31039916,3.5,3.844537815
LBN,0.0,0.0,0.0,16.83004386,19.80592105,22.77741228,25.71162281,28.35416667,25.35,25.81666667,33.275,37.75
LBR,0.0,0.0,0.0,0.0,0.0,0.065,0.065153846,0.065307692,0.06842,0.07295,0.07295,0.07295
LBY,0.0,0.0,0.0,186.8571429,304.0,539.0,668.5714286,637.5485714,648.4857143,732.0918367,817.1428571,817.1428571
LCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,14.3
LKA,0.0,0.0,0.0,0.0,0.0,0.0,19.72977273,22.7994697,24.59234848,24.51893939,24.51893939,24.51893939
LSO,0.0,0.0,0.0,0.0,0.0,0.956022945,0.895597392,0.835171839,0.837476099,0.837476099,0.837476099,0.837476099
LTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.63759009,16.75138073,14.64424321,3.472186287,1.675291074
LUX,0.0,0.0,3.788,4.138,5.062,6.5,6.0,5.89,5.666,4.976,4.46,4.56
LVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.124911452,1.443329398,1.219598583,1.465171192,1.069067296
MAR,0.0,0.0,0.0,32.48275862,35.96551724,36.52413793,38.07448276,40.17951724,51.07931034,41.94137931,36.45862069,36.45862069
MDA,0.0,0.0,0.0,0.0,0.0,0.0,121.1728395,91.91077441,53.45679012,52.71604938,52.4691358,51.85185185
MDG,0.0,0.0,0.0,0.0,0.0,4.674477003,4.402462908,4.130448813,3.977673591,4.022818991,4.022818991,4.022818991
MDV,0.0,0.0,0.0,0.0,0.0,11.33333333,12.36507933,16.44230767,16.91666667,15.46031733,15.66666667,15.66666667
MEX,0.0,0.0,0.0,0.0,13.98290604,14.72867971,15.47445337,16.22022703,17.67726161,19.22982885,20.22738386,21.47677262
MKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.80092593,11.72592593,10.20740741,11.71851852,19.33333333
MLI,0.0,0.0,0.0,0.0,0.0,2.266666667,4.525146199,6.759736842,8.505438597,8.643333333,8.643333333,8.643333333
MLT,0.0,0.0,0.0,0.0,49.10891089,51.84158416,48.27722772,52.19236218,67.32673267,72.87128713,79.40594059,85.14851485
MMR,0.0,0.0,0.0,0.0,0.0,2.817148554,3.007703812,3.198259069,3.313160518,3.313160518,3.313160518,3.313160518
MNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.328912467,1.452696728,1.562260536,1.408908046,1.328735632
MOZ,0.0,0.0,0.0,0.0,0.0,0.0,0.656144294,0.788528959,0.947209799,1.163258795,1.354093434,1.468594217
MRT,0.0,0.0,0.0,0.0,272.3075,406.1229167,403.3833333,401.14375,367.775,337.05,337.05,337.05
MUS,0.0,0.0,0.0,14.08457531,16.58063734,19.07669938,21.2868048,22.28280625,24.96062038,22.90076336,21.15594329,22.173755
MWI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.729399009,8.290086741,8.406443618,8.406443618,8.406443618
MYS,0.0,0.0,0.0,0.0,0.0,0.0,1.490936782,0.952250454,0.985916515,1.019582577,1.053248639,1.15637931
NAM,0.0,0.0,0.0,0.0,0.0,2.86038961,4.13474026,4.462662338,4.576298701,4.576298701,4.576298701,4.576298701
NER,0.0,0.0,0.0,0.0,0.0,0.0,17.53680672,21.60067227,25.66453781,31.45460317,39.83396825,49.92
NGA,0.0,0.0,0.0,0.0,0.0,2.529411765,3.348799165,4.169857292,4.891493213,5.398823529,5.643438914,5.643438914
NIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932028535,0.980025608,0.988028169,0.988028169
NLD,0.0,0.0,0.0,0.0,84.16727273,80.02363636,69.88909091,63.53181818,87.0325,99.45454545,97.45454545,72.62181818
NOR,0.0,0.0,0.0,0.0,0.537303665,0.571650851,0.606001309,0.627233857,0.668597607,0.792146597,0.71513089,0.70447644
NPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.811473259,4.791675076,4.791675076,4.791675076
NZL,0.0,0.0,0.0,0.0,0.452599388,0.635211883,0.770642202,0.906072521,1.191961555,1.523318043,2.305198777,3.019877676
OMN,0.0,0.0,0.0,0.0,0.0,0.0,86.47366522,88.91341991,89.75,97.51428571,113.5142857,116.7142857
OWID_WRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.075563967
PAK,0.0,0.0,0.0,279.3581818,280.6263636,281.8945455,286.3353535,303.4666667,318.3845455,330.8113636,341.6,363.6363636
PAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845924841,0.88682284
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904160204,0.981690305
PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01377871,17.58830898,19.36325678
PNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039910112,0.048951311,0.048951311,0.048951311
POL,0.0,0.0,21.41902985,26.43955224,29.18619403,29.69141791,24.96268657,23.86753731,21.86380597,22.42537313,21.39925373,18.80597015
PRI,0.0,0.0,0.0,0.0,0.0,0.0,11.39943662,11.81352113,12.86197183,14.16676056,13.52394366,12.32394366
PRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83056716,12.92208955,12.92208955,12.92208955
PRT,0.0,0.0,0.0,0.0,0.0,0.0,26.50042607,30.80781955,29.61496241,24.06842105,24.06842105,24.06842105
PRY,0.0,0.0,0.0,0.0,0.0,0.367521368,0.387245233,0.406969099,0.704247604,1.417858068,2.062393162,2.062393162
QAT,0.0,0.0,0.0,293.2142857,356.6071429,420.0,336.9642857,289.8214286,333.4642857,402.3214286,439.375,447.8571429
ROU,0.0,0.0,27.1684757,38.13119396,45.96507787,48.2869278,47.42016675,29.40066069,21.76026428,16.24351109,15.29495045,15.98159509
RUS,0.0,0.0,0.0,0.0,0.0,0.0,2.309833024,1.68132123,1.525200989,1.474953618,1.484230056,1.493738404
RWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721684211,1.935789474,1.935789474,1.935789474
SAU,0.0,0.0,0.0,0.0,0.0,0.0,671.6666667,765.359375,847.7802083,936.1284722,900.1041667,883.3333333
SDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.375,673.375
SEN,0.0,0.0,0.0,0.0,0.0,5.271317829,5.614117472,5.956917114,8.608333333,8.608333333,8.608333333,8.608333333
SGP,0.0,0.0,0.0,54.34083333,111.02625,167.7116667,223.1970833,279.8825,338.24525,315.0613333,160.0334167,82.01666667
SLE,0.0,0.0,0.0,0.0,0.0,0.23125,0.078754808,0.103322115,0.1238875,0.132625,0.132625,0.132625
SLV,0.0,0.0,0.0,0.0,0.0,0.0,4.66346769,7.250239923,10.70172745,13.55086372,13.55086372,13.55086372
SOM,0.0,0.0,0.0,0.0,0.0,13.5,29.39679487,45.29358974,54.92166667,54.96666667,54.96666667,54.96666667
SRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.07743547,52.37302248,63.95860592
SSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.530769231,2.530769231
STP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591543679,0.929597128,1.267650578,1.605704028,1.876146789
SUR,0.0,0.0,0.0,0.0,0.0,0.464646465,0.546231546,0.627816628,0.658552189,0.622121212,0.622121212,0.622121212
SVK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3968254,8.685714286,5.45952381,5.28015873,4.415079365
SVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.816282807,5.010176754,4.970540975,4.988752009
SWE,0.0,0.0,2.396374269,2.411345029,2.135438596,1.737719298,1.738596491,1.585380117,1.564912281,1.538011696,1.499064327,1.388888889
SWZ,0.0,0.0,0.0,0.0,26.34469697,29.9905303,33.63636364,37.28219697,39.86363636,40.45454545,40.45454545,40.45454545
SYR,0.0,0.0,0.0,61.51928709,98.23954633,134.9598056,171.6800648,202.2854739,229.3746495,198.323051,195.7992148,195.7992148
TCD,0.0,0.0,0.0,0.0,0.0,1.206666667,2.740786325,4.274905983,5.7424,5.864,5.864,5.864
TGO,0.0,0.0,0.0,0.0,0.0,0.791304348,1.054403568,1.317502787,1.469565217,1.939130435,1.939130435,1.939130435
THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.52650334,25.52650334,25.52650334
TJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.26347305,18.12942536,17.50502504,16.82655741,16.41947684
TKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726.871886,1850.702254,1983.274021,1983.274021,1983.274021
TLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.26658551,14.26658551,14.26658551
TTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734375,8.5,8.282986112,8.755208333,8.755208333
TUN,0.0,0.0,0.0,33.42073897,49.10607867,62.21692491,71.03218117,65.79737783,67.318236,69.10607867,82.84862932,113.659118
TUR,0.0,0.0,0.0,0.0,0.0,0.0,13.92048458,15.40687539,17.56754772,18.26855727,22.25110132,26.43612335
TZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41938244,6.171428571,6.171428571,6.171428571,6.171428571
UGA,0.0,0.0,0.534974359,0.590358974,0.64574359,0.701128205,0.756512821,0.811897436,0.927051282,1.515619658,1.633333333,1.633333333
